   #algo    input      max           memory   constr   it     time 
  manual        1       64                0        0    0   136.35 
  manual        1       64                0        0    1  144.065 
  manual        1       64                0        0    2  148.062 
  manual        1       64                0        0    3  144.424 
  manual        1       64                0        0    4  144.157 
  manual        2       64                0        0    0  183.164 
  manual        2       64                0        0    1  193.476 
  manual        2       64                0        0    2  194.282 
  manual        2       64                0        0    3  192.905 
  manual        2       64                0        0    4  195.791 
  manual        4       64                0        0    0  231.839 
  manual        4       64                0        0    1  240.525 
  manual        4       64                0        0    2  244.229 
  manual        4       64                0        0    3  242.999 
  manual        4       64                0        0    4  243.944 
  manual        8       64                0        0    0  304.253 
  manual        8       64                0        0    1  316.969 
  manual        8       64                0        0    2  314.263 
  manual        8       64                0        0    3  307.081 
  manual        8       64                0        0    4   314.55 
  manual        8       32                0        0    0  301.913 
  manual        8       32                0        0    1  305.607 
  manual        8       32                0        0    2  325.134 
  manual        8       32                0        0    3   318.75 
  manual        8       32                0        0    4  318.423 
  manual        8       40                0        0    0  314.654 
  manual        8       40                0        0    1   319.41 
  manual        8       40                0        0    2  319.401 
  manual        8       40                0        0    3  318.272 
  manual        8       40                0        0    4  320.819 
  manual        8       48                0        0    0  315.064 
  manual        8       48                0        0    1  332.821 
  manual        8       48                0        0    2   319.51 
  manual        8       48                0        0    3  319.519 
  manual        8       48                0        0    4  319.089 
  manual        8       56                0        0    0  300.895 
  manual        8       56                0        0    1  308.474 
  manual        8       56                0        0    2  312.884 
  manual        8       56                0        0    3  310.983 
  manual        8       56                0        0    4   316.04 
