   #algo    input      max           memory   constr   it     time 
   xfast        1       64       8482421568  10944.4    0  749.252 
   xfast        1       64       8482421568  10202.2    1  778.705 
   xfast        1       64       8482421568  10095.7    2  764.316 
   xfast        1       64       8482421568  10157.3    3   764.28 
   xfast        1       64       8482421568  10934.6    4  795.416 
   xfast        2       64      16580449728  22368.3    0  920.191 
   xfast        2       64      16580449728  22860.8    1  914.175 
   xfast        2       64      16580449728  22566.9    2  910.527 
   xfast        2       64      16580449728  22311.2    3  884.852 
   xfast        2       64      16580449728  22141.3    4   902.06 
   xfast        4       64      32392418304  49224.2    0  1026.48 
   xfast        4       64      32392418304    45836    1  970.869 
   xfast        4       64      32392418304  46540.9    2  1024.97 
   xfast        4       64      32392418304  46264.8    3  990.614 
   xfast        4       64      32392418304  46109.5    4  957.908 
