   #algo    input      max           memory   constr   it     time 
   yfast        1       64        156439360  147.769    0  464.048 
   yfast        1       64        156439360  135.362    1  463.112 
   yfast        1       64        156439360  133.476    2  469.159 
   yfast        1       64        156439360  133.445    3  488.148 
   yfast        1       64        156439360  134.521    4  458.061 
   yfast        2       64        306777088  312.465    0  681.866 
   yfast        2       64        306777088  293.402    1  671.318 
   yfast        2       64        306777088  292.506    2  666.746 
   yfast        2       64        306777088  291.221    3  672.676 
   yfast        2       64        306777088  292.518    4  670.124 
   yfast        4       64        601365952  636.649    0  782.928 
   yfast        4       64        601365952  608.974    1  772.431 
   yfast        4       64        601365952   612.85    2  812.678 
   yfast        4       64        601365952  606.892    3  775.636 
   yfast        4       64        601365952  606.889    4  775.016 
   yfast        8       64       1178304064  1292.32    0  823.586 
   yfast        8       64       1178304064  1243.78    1  818.585 
   yfast        8       64       1178304064     1234    2  817.461 
   yfast        8       64       1178304064  1223.38    3  826.831 
   yfast        8       64       1178304064  1242.29    4  832.244 
   yfast        8       32        757304576  663.412    0  661.716 
   yfast        8       32        757304576  663.122    1  666.887 
   yfast        8       32        757304576  663.793    2  671.993 
   yfast        8       32        757304576  677.029    3  679.842 
   yfast        8       32        757304576  670.105    4  677.062 
   yfast        8       40        929698048  919.796    0   733.22 
   yfast        8       40        929698048  910.673    1  735.174 
   yfast        8       40        929698048  922.178    2  731.755 
   yfast        8       40        929698048  912.202    3  725.013 
   yfast        8       40        929698048  918.252    4  728.044 
   yfast        8       48       1041598592   1081.5    0  777.834 
   yfast        8       48       1041598592  1085.26    1  772.014 
   yfast        8       48       1041598592  1082.79    2   788.58 
   yfast        8       48       1041598592  1087.63    3  771.645 
   yfast        8       48       1041598592  1094.32    4  764.958 
   yfast        8       56       1120439616  1167.69    0  778.821 
   yfast        8       56       1120439616  1182.16    1  761.096 
   yfast        8       56       1120439616  1183.92    2  754.512 
   yfast        8       56       1120439616  1170.96    3  755.456 
   yfast        8       56       1120439616  1175.46    4  763.867 
