   #algo    input      max           memory   constr   it     time 
  linear        1       64        312008960    40.08    0  265.932 
  linear        1       64        312008960   46.647    1  262.304 
  linear        1       64        312008960   40.645    2  262.608 
  linear        1       64        312008960   44.739    3  255.546 
  linear        1       64        312008960   40.431    4  251.164 
  linear        2       64        524840320   70.647    0  251.111 
  linear        2       64        524840320    71.62    1  251.391 
  linear        2       64        524840320   70.909    2  250.911 
  linear        2       64        524840320   70.987    3  250.964 
  linear        2       64        524840320   72.852    4  251.848 
  linear        4       64       1100840320  134.917    0  252.013 
  linear        4       64       1100840320  140.491    1  254.357 
  linear        4       64       1100840320  145.756    2  257.111 
  linear        4       64       1100840320  142.208    3  279.679 
  linear        4       64       1100840320  170.361    4  252.772 
  linear        8       64       2304040320  296.599    0  254.566 
  linear        8       64       2304040320  299.229    1  252.698 
  linear        8       64       2304040320  301.718    2  255.796 
  linear        8       64       2304040320   307.12    3   253.52 
  linear        8       64       2304040320  298.474    4  252.204 
