   #algo    input      max           memory   constr   it     time 
   nlogn        1       64       1216000000   86.066    0   82.288 
   nlogn        1       64       1216000000  111.848    1   82.305 
   nlogn        1       64       1216000000   87.195    2   83.038 
   nlogn        1       64       1216000000   88.064    3   83.086 
   nlogn        1       64       1216000000    88.72    4   84.314 
   nlogn        2       64       2560000000  181.862    0   82.523 
   nlogn        2       64       2560000000  181.964    1   84.167 
   nlogn        2       64       2560000000  182.092    2   84.841 
   nlogn        2       64       2560000000  186.949    3   84.703 
   nlogn        2       64       2560000000  183.438    4   82.827 
   nlogn        4       64       5376000000  382.686    0    82.39 
   nlogn        4       64       5376000000  378.689    1   82.891 
   nlogn        4       64       5376000000  379.206    2   82.846 
   nlogn        4       64       5376000000  382.517    3   82.654 
   nlogn        4       64       5376000000  379.925    4   82.936 
   nlogn        8       64      11264000000  801.801    0    82.74 
   nlogn        8       64      11264000000  801.495    1   82.515 
   nlogn        8       64      11264000000  802.887    2   82.626 
   nlogn        8       64      11264000000  814.447    3   84.273 
   nlogn        8       64      11264000000  813.021    4    82.51 
